,date_taken,not_blank,possibly_blank
0,2026-01-24,0.0,144.0
1,2026-01-25,0.0,38.0
2,2026-01-26,0.0,27.0
3,2026-01-27,0.0,144.0
4,2026-01-28,0.0,144.0
5,2026-01-29,0.0,144.0
6,2026-01-30,0.0,144.0
7,2026-01-31,0.0,144.0
8,2026-02-01,0.0,144.0
9,2026-02-02,0.0,144.0
10,2026-02-03,0.0,144.0
11,2026-02-04,0.0,144.0
12,2026-02-05,0.0,144.0
13,2026-02-06,0.0,144.0
14,2026-02-07,0.0,10.0
15,2026-02-10,0.0,135.0
16,2026-02-11,0.0,144.0
17,2026-02-12,0.0,144.0
18,2026-02-13,0.0,144.0
19,2026-02-14,0.0,144.0
20,2026-02-15,0.0,144.0
21,2026-02-16,0.0,144.0
22,2026-02-17,1.0,143.0
23,2026-02-18,0.0,144.0
24,2026-02-19,0.0,144.0
25,2026-02-20,0.0,144.0
26,2026-02-21,0.0,144.0
27,2026-02-22,0.0,144.0
28,2026-02-23,0.0,117.0
